City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,vanimo,-2.6741,141.3028,24.71,91,100,1.9,PG,1675716228
108,praia da vitoria,38.7333,-27.0667,13.75,94,75,11.27,PT,1675716228
109,kaeo,-35.1,173.7833,21.29,89,22,1.65,NZ,1675716229
110,jiblah,13.9216,44.1467,16.09,72,22,0.63,YE,1675716229
111,ilulissat,69.2167,-51.1,-19.99,84,75,4.12,GL,1675716183
112,saint george,37.1041,-113.5841,11.35,42,75,2.06,US,1675716230
113,richards bay,-28.783,32.0377,22.63,92,0,1.49,ZA,1675716230
114,thompson,55.7435,-97.8558,-7.91,79,100,5.14,CA,1675716156
115,provideniya,64.3833,-173.3,-17.94,71,40,1.0,RU,1675716230
116,vanderhoof,54.0166,-124.0198,3.81,84,71,4.35,CA,1675716156
117,grand gaube,-20.0064,57.6608,27.22,80,91,1.34,MU,1675716231
118,ravar,31.2656,56.8055,11.29,34,54,1.42,IR,1675716231
119,portland,45.5234,-122.6762,10.99,81,75,4.92,US,1675715946
120,lokoja,7.8024,6.743,30.85,26,100,1.28,NG,1675716232
121,port elizabeth,-33.918,25.5701,23.39,93,20,3.09,ZA,1675716232
122,kununurra,-15.7667,128.7333,21.99,94,55,0.0,AU,1675716233
123,dingle,10.9995,122.6711,23.47,92,100,3.12,PH,1675716233
124,butaritari,3.0707,172.7902,27.44,79,59,8.87,KI,1675716233
125,megion,61.0296,76.1136,-15.99,99,100,0.96,RU,1675716234
126,chokurdakh,70.6333,147.9167,-31.53,99,100,1.3,RU,1675716149
127,hithadhoo,-0.6,73.0833,27.32,71,63,5.34,MV,1675716234
128,fortuna,40.5982,-124.1573,12.18,70,100,1.34,US,1675716173
129,faya,18.3851,42.4509,13.29,61,99,1.42,SA,1675716235
130,mareeba,-17.0,145.4333,22.4,94,64,0.21,AU,1675716235
131,binzhou,37.3667,118.0167,-0.47,71,99,2.61,CN,1675716235
132,taoudenni,22.6783,-3.9836,20.2,19,100,3.0,ML,1675716236
133,grajau,-5.8194,-46.1386,24.88,93,97,2.08,BR,1675716236
134,tazovskiy,67.4667,78.7,-24.75,100,98,1.63,RU,1675716237
135,ponta do sol,32.6667,-17.1,15.35,53,20,4.21,PT,1675716127
136,victoria,22.2855,114.1577,20.53,90,99,4.02,HK,1675716056
137,nayoro,44.3506,142.4578,-10.39,98,100,0.46,JP,1675716237
138,colquiri,-17.4167,-67.1333,6.38,71,94,2.5,BO,1675716237
139,herat,34.5,62.0,7.06,39,100,3.6,AF,1675716238
140,ambagarh chauki,20.7833,80.7167,16.12,26,0,1.27,IN,1675716238
141,ghanzi,-21.5667,21.7833,21.44,75,45,3.61,BW,1675716238
142,gat,31.61,34.7642,11.38,100,85,12.68,IL,1675716238
143,razgrad,43.5333,26.5167,-4.47,90,100,7.26,BG,1675716239
144,biankouma,7.7391,-7.6138,26.75,31,63,1.18,CI,1675716239
145,natal,-5.795,-35.2094,27.36,74,75,6.17,BR,1675716022
146,hauterive,46.0901,3.4459,4.42,91,43,1.9,FR,1675716240
147,troitsko-pechorsk,62.7084,56.1964,-24.93,100,100,1.02,RU,1675716240
148,maracaju,-21.6144,-55.1683,27.6,70,72,0.79,BR,1675716241
149,kalakamati,-20.5929,27.3121,22.39,49,15,3.69,BW,1675716241
150,tura,25.5198,90.2201,13.95,53,0,1.44,IN,1675716241
151,khatanga,71.9667,102.5,-40.52,100,57,1.6,RU,1675716242
152,lima,-12.0432,-77.0282,25.14,69,0,8.23,PE,1675716125
153,lasa,46.6166,10.7002,1.49,96,93,1.93,IT,1675716242
154,elko,41.0002,-115.5012,0.97,71,63,8.94,US,1675716243
155,palana,59.1167,159.9667,-26.67,98,98,4.13,RU,1675716243
156,palauig,15.435,119.9045,25.09,78,38,1.71,PH,1675716243
157,douentza,14.9951,-2.9517,27.75,11,100,1.7,ML,1675716244
158,ponerihouen,-21.0833,165.4,27.19,84,100,2.9,NC,1675716244
159,canguaretama,-6.38,-35.1289,26.36,76,54,5.21,BR,1675716245
160,marsh harbour,26.5412,-77.0636,22.62,66,0,7.33,BS,1675716000
161,feicheng,35.2606,117.9675,3.18,90,49,0.76,CN,1675716245
162,iberia,29.9502,-91.7507,22.04,43,0,5.66,US,1675716246
163,sumenep,-7.0167,113.8667,24.38,86,100,3.94,ID,1675716246
164,zanjan,36.6736,48.4787,-0.25,90,99,5.66,IR,1675716003
165,castro,-24.7911,-50.0119,24.43,64,30,0.17,BR,1675715735
166,pevek,69.7008,170.3133,-36.81,100,100,1.61,RU,1675716247
167,port lincoln,-34.7333,135.8667,17.23,84,0,6.63,AU,1675716247
